Institute_name,Grid_id,Type,Established_year,Institute_link,Wikipedia_link,Alias_list,City,City_geoNames_Code,City_geoNames_id,Country,Country_geoNames_Code,Country_geoNames_id,NUTS1_name,NUTS1_code,NUTS2_name,NUTS2_code,NUTS3_name,NUTS3_code
Karlsruhe Institute of Technology,grid.7892.4,Education,2009 CE,http://www.kit.edu/english/,http://en.wikipedia.org/wiki/Karlsruhe_Institute_of_Techn...,"Karlsruhe Institute of Technology - The Research University in the Helmholtz Association,Das Karlsruher Institut für Technologie (KIT) – Die Forschungsuniversität in der Helmholtz-Gemeinschaft,KIT,",Karlsruhe,,,Germany,DE,,BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,"Karlsruhe, Stadtkreis",DE122
University of Pennsylvania,grid.25879.31,Education,1740 CE,http://www.upenn.edu/,http://en.wikipedia.org/wiki/University_of_Pennsylvania,"UPenn,",Philadelphia,,,United States,US,,,,,,,
Ministry of Education of the People's Republic of China,grid.419897.a,Government,1949 CE,http://www.moe.edu.cn/publicfiles/business/htmlfiles/moe/...,http://en.wikipedia.org/wiki/Ministry_of_Education_of_the...,"Ministry of Education Central People's Government,State Education Commission,MOE,",Beijing,,,China,CN,,,,,,,
LG Corporation (South Korea),grid.464630.3,Company,1947 CE,http://www.lge.co.kr/lgekor/main.do,https://en.wikipedia.org/wiki/LG_Corporation,"GoldStar,Lucky Goldstar,",Seoul,,,South Korea,KR,,,,,,,
Universidade de São Paulo,grid.11899.38,Education,1934 CE,http://www5.usp.br/en/,http://en.wikipedia.org/wiki/University_of_S%C3%A3o_Paulo,"USP,",São Paulo,,,Brazil,BR,,,,,,,
The Ohio State University,grid.261331.4,Education,1870 CE,http://www.osu.edu/,http://en.wikipedia.org/wiki/Ohio_State_University,"OSU,",Columbus,,,United States,US,,,,,,,
Technical University of Munich,grid.6936.a,Education,1868 CE,https://www.tum.de/en/,http://en.wikipedia.org/wiki/Technische_Universit%C3%A4t_...,"TUM,",Munich,,,Germany,DE,,BAYERN,DE2,Oberbayern,DE21,"München, Landkreis",DE21H
University of North Carolina at Chapel Hill,grid.10698.36,Education,1789 CE,http://www.unc.edu/,http://en.wikipedia.org/wiki/University_of_North_Carolina...,"UNC-Chapel Hill,UNC,",Chapel Hill,,,United States,US,,,,,,,
University of Waterloo,grid.46078.3d,Education,1956 CE,https://uwaterloo.ca/,http://en.wikipedia.org/wiki/University_of_Waterloo,"UWaterloo,UW,",Waterloo,,,Canada,CA,,,,,,,
Chinese Academy of Sciences,grid.9227.e,Government,1949 CE,http://english.cas.cn/,http://en.wikipedia.org/wiki/Chinese_Academy_of_Sciences,"CAS,",Beijing,,,China,CN,,,,,,,
Massachusetts Institute of Technology,grid.116068.8,Education,1861 CE,http://web.mit.edu/,http://en.wikipedia.org/wiki/Massachusetts_Institute_of_T...,"MIT,",Cambridge,,,United States,US,,,,,,,
"University of California, San Diego",grid.266100.3,Education,1960 CE,http://ucsd.edu/,"http://en.wikipedia.org/wiki/University_of_California,_Sa...","UC San Diego,UCSD,",San Diego,,,United States,US,,,,,,,
University of Illinois Urbana-Champaign,grid.35403.31,Education,1867 CE,http://illinois.edu/,http://en.wikipedia.org/wiki/University_of_Illinois_at_Ur...,"University of Illinois,UIUC,",Urbana,,,United States,US,,,,,,,
Catholic University of the Sacred Heart,grid.8142.f,Education,1921 CE,http://www.ucsc.it/,http://en.wikipedia.org/wiki/Universit%C3%A0_Cattolica_de...,"UCSC,",Milan,,,Italy,IT,,NORD-OVEST,ITC,Lombardia,ITC4,Milano,ITC4C
University of Oxford,grid.4991.5,Education,1096 CE,http://www.ox.ac.uk/,http://en.wikipedia.org/wiki/University_of_Oxford,"Oxford University,",Oxford,,,United Kingdom,GB,,SOUTH EAST (ENGLAND),UKJ,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Oxfordshire,UKJ14
University College London,grid.83440.3b,Education,1826 CE,http://www.ucl.ac.uk/,http://en.wikipedia.org/wiki/University_College_London,"London University,University College, London,UCL,",London,,,United Kingdom,GB,,LONDON,UKI,Inner London - West,UKI3,Westminster,UKI32
Osaka University,grid.136593.b,Education,1724 CE,http://www.osaka-u.ac.jp/en,http://en.wikipedia.org/wiki/Osaka_University,"Ōsaka daigaku,",Osaka,,,Japan,JP,,,,,,,
University of Gothenburg,grid.8761.8,Education,1954 CE,http://www.gu.se/english,http://en.wikipedia.org/wiki/University_of_Gothenburg,,Göteborg,,,Sweden,SE,,SÖDRA SVERIGE,SE2,Västsverige,SE23,Västra Götalands län,SE232
University of Lisbon,grid.9983.b,Education,1911 CE,http://www.ulisboa.pt/,http://en.wikipedia.org/wiki/University_of_Lisbon,,Lisbon,,,Portugal,PT,,CONTINENTE,PT1,Área Metropolitana de Lisboa,PT17,Área Metropolitana de Lisboa,PT170
Sapienza University of Rome,grid.7841.a,Education,1303 CE,http://www.uniroma1.it/,http://en.wikipedia.org/wiki/Sapienza_University_of_Rome,"Università degli Studi di Roma ""La Sapienza"",",Rome,,,Italy,IT,,CENTRO (IT),ITI,Lazio,ITI4,Roma,ITI43
"University of California, San Francisco",grid.266102.1,Education,1873 CE,https://www.ucsf.edu/,"http://en.wikipedia.org/wiki/University_of_California,_Sa...","UCSF,",San Francisco,,,United States,US,,,,,,,
